1,1,Data berat badan keluarga Cemara adalah 35 42 72 12 17 Median dari data tersebut adalah,35,12,17,35,,
1,1,Gaya Coulomb yang dialami oleh muatan 4 C yang berada sejauh 3 meter dari muatan 3 C adalah,12 x 109.,1 x 109,12 x 109,2 x 109,,
1,1,Pernyataan berikut ini yang benar mengenai muatan yang dapat disimpan dalam kapasitor adalah,Sebanding dengan tegangan,Sebanding dengan tegangan,Berbanding terbalik dengan kapasitor tegangan,Berbanding terbalik dengan kapasitor kuadrat tegangan,,
1,1,Titik beku zat nonelektrolit (Mr = 200) dalam 100 gram air adalah -1.395oC  Massa zat non elektrolit tersebut adalah(Kb = 0,520 C/m),15 gram.,6 gram,15 gram,20 gram,,
1,1,Pada elektrolisis lelehan CaCl2 dengan elektroda grafit, di anoda akan dihasilkan,Gas klor.,Gas klor,Gas hidrogen,Logam Mg,,
1,1,Unsur di alam dapat ditemui baik secara bebas atau berikatan membentuk senyawa. Senyawa tersebut dapat berupa molekul senyawa atau molekul unsur Unsur yang terletak pada periode ketiga yang terdapat bebas di alam dalam bentuk unsur tanpa harus membentuk senyawa adalah ,Ar dan S.,Ar dan S,Na dan Mg,Na dan S,,
1,1,Rahayu ingin mengetahui jenis logam yang terkandung dalam cuplikan suatu garam dengan melakukan uji nyala Setelah dilakukan uji nyala ternyata didapatkan hasil warna merah dapat disimpulkan garam tersebut mengandung kation dari ,Li.,Na,Li,Ba,,
1,1,Berdasarkan teori endosimbion, DNA yang terdapat pada organel kloroplas berasal dari,Organisme prokariotik fotosintetik yang tertelan leluhur sel eukariotik.,Fusi sel yang terjadi antara dua jenis organisme eukariotik,Organisme prokariotik fotosintetik yang tertelan leluhur sel eukariotik,Peleburan materi genetik dari nukleus organisme eukariotik,,
1,1,Berikut ini merupakan kerja enzim sesuai teori lock and key adalah ,Memiliki sisi aktif yang bersifat spesifik sehingga dapat berikatan dengan substrat tertentu saja.,Memiliki bentuk enzim dan substrat yang dapat berubah-ubah,Memiliki sisi aktif yang bersifat spesifik sehingga dapat berikatan dengan substrat tertentu saja,Sisi aktif enzim selalu fleksibel dalam menghasilkan suatu produk,,
1,1,Seorang siswa kelas XII ingin melakukan suatu percobaan pengaruh cahaya terhadap arah gerak tanaman kacang merah. Judul penelitian tersebut adalah pengaruh cahaya terhadap arah pertumbuhan kacang merah Rumusan masalah yang tepat dari percobaan yang dilakukan oleh siswa tersebut adalah,Adakah pengaruh cahaya terhadap pertumbuhan kacang merah.,Adakah pengaruh hormon terhadap pertumbuhan kacang merah,Arah gerak pertumbuhan kacang merah tidak dipengaruhi oleh suhu,Adakah pengaruh cahaya terhadap pertumbuhan kacang merah,,
1,1,Jenis kelamin tipe ZW dapat ditemukan pada organisme ,Kupu-kupu betina.,Kupu-kupu betina,Lalat betina,Lalat jantan,,
1,1,Sebuah benda diberi gaya F=(-6i+6j)N sehingga berpindah sejauh s=(3i+6j)meter. Besar usaha yang dikerjakan pada benda tersebut adalah ,18 J.,-18 J,18 J,36 J,,
